"facility_id","facility_name","facility_type","city","district","state","facility_identifier","verification_status","source_type"
"FAC-TN-0037","NeuroCare Reference Government Hospital 0037","GOVERNMENT_HOSPITAL","Chennai","Chennai","Tamil Nadu","SYN-FAC-TN-0037","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-TN-0038","NeuroCare Reference Medical College & Hospital 0038","MEDICAL_COLLEGE_HOSPITAL","Chennai","Chennai","Tamil Nadu","SYN-FAC-TN-0038","PENDING","SYNTHETIC_REFERENCE"
"FAC-TN-0039","NeuroCare Reference Medical College & Hospital 0039","MEDICAL_COLLEGE_HOSPITAL","Chennai","Chennai","Tamil Nadu","SYN-FAC-TN-0039","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-TN-0040","NeuroCare Reference Medical College & Hospital 0040","MEDICAL_COLLEGE_HOSPITAL","Chennai","Chennai","Tamil Nadu","SYN-FAC-TN-0040","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-TN-0041","NeuroCare Reference Clinic 0041","CLINIC","Madurai","Madurai","Tamil Nadu","SYN-FAC-TN-0041","PENDING","SYNTHETIC_REFERENCE"
"FAC-TN-0042","NeuroCare Reference Medical College & Hospital 0042","MEDICAL_COLLEGE_HOSPITAL","Salem","Salem","Tamil Nadu","SYN-FAC-TN-0042","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-TN-0043","NeuroCare Reference Specialty Hospital 0043","SPECIALTY_HOSPITAL","Chennai","Chennai","Tamil Nadu","SYN-FAC-TN-0043","PENDING","SYNTHETIC_REFERENCE"
"FAC-TN-0044","NeuroCare Reference Specialty Hospital 0044","SPECIALTY_HOSPITAL","Tiruchirappalli","Tiruchirappalli","Tamil Nadu","SYN-FAC-TN-0044","PENDING","SYNTHETIC_REFERENCE"
"FAC-TN-0045","NeuroCare Reference Specialty Hospital 0045","SPECIALTY_HOSPITAL","Tiruchirappalli","Tiruchirappalli","Tamil Nadu","SYN-FAC-TN-0045","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-TN-0046","NeuroCare Reference Healthcare Centre 0046","HEALTHCARE_CENTRE","Chennai","Chennai","Tamil Nadu","SYN-FAC-TN-0046","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-TN-0047","NeuroCare Reference Healthcare Centre 0047","HEALTHCARE_CENTRE","Coimbatore","Coimbatore","Tamil Nadu","SYN-FAC-TN-0047","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-TN-0048","NeuroCare Reference Healthcare Centre 0048","HEALTHCARE_CENTRE","Salem","Salem","Tamil Nadu","SYN-FAC-TN-0048","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-TN-0049","NeuroCare Reference Healthcare Centre 0049","HEALTHCARE_CENTRE","Madurai","Madurai","Tamil Nadu","SYN-FAC-TN-0049","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-TN-0050","NeuroCare Reference Medical College & Hospital 0050","MEDICAL_COLLEGE_HOSPITAL","Tiruchirappalli","Tiruchirappalli","Tamil Nadu","SYN-FAC-TN-0050","PENDING","SYNTHETIC_REFERENCE"
"FAC-KA-0051","NeuroCare Reference Medical College & Hospital 0051","MEDICAL_COLLEGE_HOSPITAL","Kalaburagi","Kalaburagi","Karnataka","SYN-FAC-KA-0051","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KA-0052","NeuroCare Reference Healthcare Institute 0052","PRIVATE_HOSPITAL","Mangaluru","Mangaluru","Karnataka","SYN-FAC-KA-0052","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KA-0053","NeuroCare Reference Specialty Hospital 0053","SPECIALTY_HOSPITAL","Kalaburagi","Kalaburagi","Karnataka","SYN-FAC-KA-0053","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KA-0054","NeuroCare Reference Specialty Hospital 0054","SPECIALTY_HOSPITAL","Mysuru","Mysuru","Karnataka","SYN-FAC-KA-0054","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KA-0055","NeuroCare Reference Government Hospital 0055","GOVERNMENT_HOSPITAL","Belagavi","Belagavi","Karnataka","SYN-FAC-KA-0055","PENDING","SYNTHETIC_REFERENCE"
"FAC-KA-0056","NeuroCare Reference Research Hospital 0056","PRIVATE_HOSPITAL","Bengaluru","Bengaluru","Karnataka","SYN-FAC-KA-0056","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KA-0057","NeuroCare Reference Government Hospital 0057","GOVERNMENT_HOSPITAL","Bengaluru","Bengaluru","Karnataka","SYN-FAC-KA-0057","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KA-0058","NeuroCare Reference Hospital 0058","PRIVATE_HOSPITAL","Mysuru","Mysuru","Karnataka","SYN-FAC-KA-0058","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KA-0059","NeuroCare Reference Medical College & Hospital 0059","MEDICAL_COLLEGE_HOSPITAL","Bengaluru","Bengaluru","Karnataka","SYN-FAC-KA-0059","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KA-0060","NeuroCare Reference Government Hospital 0060","GOVERNMENT_HOSPITAL","Mangaluru","Mangaluru","Karnataka","SYN-FAC-KA-0060","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KA-0061","NeuroCare Reference Medical Foundation 0061","PRIVATE_HOSPITAL","Belagavi","Belagavi","Karnataka","SYN-FAC-KA-0061","PENDING","SYNTHETIC_REFERENCE"
"FAC-KA-0062","NeuroCare Reference Medical Institute 0062","PRIVATE_HOSPITAL","Mysuru","Mysuru","Karnataka","SYN-FAC-KA-0062","PENDING","SYNTHETIC_REFERENCE"
"FAC-KA-0063","NeuroCare Reference Medical College & Hospital 0063","MEDICAL_COLLEGE_HOSPITAL","Bengaluru","Bengaluru","Karnataka","SYN-FAC-KA-0063","PENDING","SYNTHETIC_REFERENCE"
"FAC-KA-0064","NeuroCare Reference Specialty Hospital 0064","SPECIALTY_HOSPITAL","Kalaburagi","Kalaburagi","Karnataka","SYN-FAC-KA-0064","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KA-0065","NeuroCare Reference Medical College & Hospital 0065","MEDICAL_COLLEGE_HOSPITAL","Mangaluru","Mangaluru","Karnataka","SYN-FAC-KA-0065","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KA-0066","NeuroCare Reference Healthcare Centre 0066","HEALTHCARE_CENTRE","Bengaluru","Bengaluru","Karnataka","SYN-FAC-KA-0066","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KA-0067","NeuroCare Reference Healthcare Centre 0067","HEALTHCARE_CENTRE","Mangaluru","Mangaluru","Karnataka","SYN-FAC-KA-0067","PENDING","SYNTHETIC_REFERENCE"
"FAC-KA-0068","NeuroCare Reference Medical College & Hospital 0068","MEDICAL_COLLEGE_HOSPITAL","Mangaluru","Mangaluru","Karnataka","SYN-FAC-KA-0068","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KA-0069","NeuroCare Reference Clinic 0069","CLINIC","Belagavi","Belagavi","Karnataka","SYN-FAC-KA-0069","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KA-0070","NeuroCare Reference Government Hospital 0070","GOVERNMENT_HOSPITAL","Kalaburagi","Kalaburagi","Karnataka","SYN-FAC-KA-0070","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KA-0071","NeuroCare Reference Government Hospital 0071","GOVERNMENT_HOSPITAL","Hubballi","Hubballi","Karnataka","SYN-FAC-KA-0071","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KA-0072","NeuroCare Reference Specialty Hospital 0072","SPECIALTY_HOSPITAL","Kalaburagi","Kalaburagi","Karnataka","SYN-FAC-KA-0072","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KA-0073","NeuroCare Reference Medical Institute 0073","PRIVATE_HOSPITAL","Hubballi","Hubballi","Karnataka","SYN-FAC-KA-0073","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KA-0074","NeuroCare Reference Research Hospital 0074","PRIVATE_HOSPITAL","Mysuru","Mysuru","Karnataka","SYN-FAC-KA-0074","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-KA-0075","NeuroCare Reference Clinic 0075","CLINIC","Bengaluru","Bengaluru","Karnataka","SYN-FAC-KA-0075","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-MH-0076","NeuroCare Reference Medical Institute 0076","PRIVATE_HOSPITAL","Mumbai","Mumbai","Maharashtra","SYN-FAC-MH-0076","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-MH-0077","NeuroCare Reference Medical College & Hospital 0077","MEDICAL_COLLEGE_HOSPITAL","Solapur","Solapur","Maharashtra","SYN-FAC-MH-0077","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-MH-0078","NeuroCare Reference Healthcare Centre 0078","HEALTHCARE_CENTRE","Nashik","Nashik","Maharashtra","SYN-FAC-MH-0078","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-MH-0079","NeuroCare Reference Specialty Hospital 0079","SPECIALTY_HOSPITAL","Mumbai","Mumbai","Maharashtra","SYN-FAC-MH-0079","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-MH-0080","NeuroCare Reference Medical College & Hospital 0080","MEDICAL_COLLEGE_HOSPITAL","Pune","Pune","Maharashtra","SYN-FAC-MH-0080","PENDING","SYNTHETIC_REFERENCE"
"FAC-MH-0081","NeuroCare Reference Specialty Hospital 0081","SPECIALTY_HOSPITAL","Solapur","Solapur","Maharashtra","SYN-FAC-MH-0081","PENDING","SYNTHETIC_REFERENCE"
"FAC-MH-0082","NeuroCare Reference Specialty Hospital 0082","SPECIALTY_HOSPITAL","Mumbai","Mumbai","Maharashtra","SYN-FAC-MH-0082","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-MH-0083","NeuroCare Reference Wellness Centre 0083","PRIVATE_HOSPITAL","Nashik","Nashik","Maharashtra","SYN-FAC-MH-0083","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-MH-0084","NeuroCare Reference Medical Academy 0084","PRIVATE_HOSPITAL","Nashik","Nashik","Maharashtra","SYN-FAC-MH-0084","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-MH-0085","NeuroCare Reference Healthcare Institute 0085","PRIVATE_HOSPITAL","Pune","Pune","Maharashtra","SYN-FAC-MH-0085","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-MH-0086","NeuroCare Reference Clinic 0086","CLINIC","Mumbai","Mumbai","Maharashtra","SYN-FAC-MH-0086","PENDING","SYNTHETIC_REFERENCE"
"FAC-MH-0087","NeuroCare Reference Medical College & Hospital 0087","MEDICAL_COLLEGE_HOSPITAL","Pune","Pune","Maharashtra","SYN-FAC-MH-0087","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-MH-0088","NeuroCare Reference Clinic 0088","CLINIC","Pune","Pune","Maharashtra","SYN-FAC-MH-0088","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-MH-0089","NeuroCare Reference Healthcare Centre 0089","HEALTHCARE_CENTRE","Pune","Pune","Maharashtra","SYN-FAC-MH-0089","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-MH-0090","NeuroCare Reference Government Hospital 0090","GOVERNMENT_HOSPITAL","Solapur","Solapur","Maharashtra","SYN-FAC-MH-0090","PENDING","SYNTHETIC_REFERENCE"
"FAC-MH-0091","NeuroCare Reference Clinic 0091","CLINIC","Nagpur","Nagpur","Maharashtra","SYN-FAC-MH-0091","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-MH-0092","NeuroCare Reference Healthcare Centre 0092","HEALTHCARE_CENTRE","Solapur","Solapur","Maharashtra","SYN-FAC-MH-0092","PENDING","SYNTHETIC_REFERENCE"
"FAC-MH-0093","NeuroCare Reference Medical College & Hospital 0093","MEDICAL_COLLEGE_HOSPITAL","Aurangabad","Aurangabad","Maharashtra","SYN-FAC-MH-0093","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-MH-0094","NeuroCare Reference Specialty Hospital 0094","SPECIALTY_HOSPITAL","Pune","Pune","Maharashtra","SYN-FAC-MH-0094","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-MH-0095","NeuroCare Reference Clinic 0095","CLINIC","Nashik","Nashik","Maharashtra","SYN-FAC-MH-0095","PENDING","SYNTHETIC_REFERENCE"
"FAC-MH-0096","NeuroCare Reference Specialty Hospital 0096","SPECIALTY_HOSPITAL","Pune","Pune","Maharashtra","SYN-FAC-MH-0096","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-MH-0097","NeuroCare Reference Government Hospital 0097","GOVERNMENT_HOSPITAL","Pune","Pune","Maharashtra","SYN-FAC-MH-0097","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-MH-0098","NeuroCare Reference Medical College & Hospital 0098","MEDICAL_COLLEGE_HOSPITAL","Solapur","Solapur","Maharashtra","SYN-FAC-MH-0098","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-MH-0099","NeuroCare Reference Healthcare Centre 0099","HEALTHCARE_CENTRE","Solapur","Solapur","Maharashtra","SYN-FAC-MH-0099","PENDING","SYNTHETIC_REFERENCE"
"FAC-MH-0100","NeuroCare Reference Healthcare Centre 0100","HEALTHCARE_CENTRE","Nagpur","Nagpur","Maharashtra","SYN-FAC-MH-0100","PENDING","SYNTHETIC_REFERENCE"
"FAC-DL-0101","NeuroCare Reference Clinic 0101","CLINIC","North Delhi","North Delhi","Delhi","SYN-FAC-DL-0101","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-DL-0102","NeuroCare Reference Specialty Hospital 0102","SPECIALTY_HOSPITAL","East Delhi","East Delhi","Delhi","SYN-FAC-DL-0102","PENDING","SYNTHETIC_REFERENCE"
"FAC-DL-0103","NeuroCare Reference Clinic 0103","CLINIC","West Delhi","West Delhi","Delhi","SYN-FAC-DL-0103","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-DL-0104","NeuroCare Reference Specialty Hospital 0104","SPECIALTY_HOSPITAL","South Delhi","South Delhi","Delhi","SYN-FAC-DL-0104","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-DL-0105","NeuroCare Reference Medical College & Hospital 0105","MEDICAL_COLLEGE_HOSPITAL","North Delhi","North Delhi","Delhi","SYN-FAC-DL-0105","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-DL-0106","NeuroCare Reference Government Hospital 0106","GOVERNMENT_HOSPITAL","West Delhi","West Delhi","Delhi","SYN-FAC-DL-0106","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-DL-0107","NeuroCare Reference Medical College & Hospital 0107","MEDICAL_COLLEGE_HOSPITAL","East Delhi","East Delhi","Delhi","SYN-FAC-DL-0107","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-DL-0108","NeuroCare Reference Medical College & Hospital 0108","MEDICAL_COLLEGE_HOSPITAL","North Delhi","North Delhi","Delhi","SYN-FAC-DL-0108","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-DL-0109","NeuroCare Reference Clinic 0109","CLINIC","New Delhi","New Delhi","Delhi","SYN-FAC-DL-0109","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-DL-0110","NeuroCare Reference Clinic 0110","CLINIC","East Delhi","East Delhi","Delhi","SYN-FAC-DL-0110","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-DL-0111","NeuroCare Reference Specialty Hospital 0111","SPECIALTY_HOSPITAL","North Delhi","North Delhi","Delhi","SYN-FAC-DL-0111","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-DL-0112","NeuroCare Reference Government Hospital 0112","GOVERNMENT_HOSPITAL","East Delhi","East Delhi","Delhi","SYN-FAC-DL-0112","PENDING","SYNTHETIC_REFERENCE"
"FAC-DL-0113","NeuroCare Reference Government Hospital 0113","GOVERNMENT_HOSPITAL","North Delhi","North Delhi","Delhi","SYN-FAC-DL-0113","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-DL-0114","NeuroCare Reference Healthcare Institute 0114","PRIVATE_HOSPITAL","East Delhi","East Delhi","Delhi","SYN-FAC-DL-0114","PENDING","SYNTHETIC_REFERENCE"
"FAC-DL-0115","NeuroCare Reference Wellness Centre 0115","PRIVATE_HOSPITAL","East Delhi","East Delhi","Delhi","SYN-FAC-DL-0115","PENDING","SYNTHETIC_REFERENCE"
"FAC-DL-0116","NeuroCare Reference Medical College & Hospital 0116","MEDICAL_COLLEGE_HOSPITAL","New Delhi","New Delhi","Delhi","SYN-FAC-DL-0116","PENDING","SYNTHETIC_REFERENCE"
"FAC-DL-0117","NeuroCare Reference Healthcare Centre 0117","HEALTHCARE_CENTRE","North Delhi","North Delhi","Delhi","SYN-FAC-DL-0117","PENDING","SYNTHETIC_REFERENCE"
"FAC-DL-0118","NeuroCare Reference Specialty Hospital 0118","SPECIALTY_HOSPITAL","North Delhi","North Delhi","Delhi","SYN-FAC-DL-0118","PENDING","SYNTHETIC_REFERENCE"
"FAC-DL-0119","NeuroCare Reference Healthcare Centre 0119","HEALTHCARE_CENTRE","South Delhi","South Delhi","Delhi","SYN-FAC-DL-0119","PENDING","SYNTHETIC_REFERENCE"
"FAC-DL-0120","NeuroCare Reference Specialty Hospital 0120","SPECIALTY_HOSPITAL","North Delhi","North Delhi","Delhi","SYN-FAC-DL-0120","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-DL-0121","NeuroCare Reference Clinic 0121","CLINIC","West Delhi","West Delhi","Delhi","SYN-FAC-DL-0121","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-DL-0122","NeuroCare Reference Government Hospital 0122","GOVERNMENT_HOSPITAL","North Delhi","North Delhi","Delhi","SYN-FAC-DL-0122","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-DL-0123","NeuroCare Reference Medical Institute 0123","PRIVATE_HOSPITAL","South Delhi","South Delhi","Delhi","SYN-FAC-DL-0123","PENDING","SYNTHETIC_REFERENCE"
"FAC-DL-0124","NeuroCare Reference Medical College & Hospital 0124","MEDICAL_COLLEGE_HOSPITAL","New Delhi","New Delhi","Delhi","SYN-FAC-DL-0124","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-DL-0125","NeuroCare Reference Healthcare Centre 0125","HEALTHCARE_CENTRE","South Delhi","South Delhi","Delhi","SYN-FAC-DL-0125","PENDING","SYNTHETIC_REFERENCE"
"FAC-TG-0126","NeuroCare Reference Medical College & Hospital 0126","MEDICAL_COLLEGE_HOSPITAL","Warangal","Warangal","Telangana","SYN-FAC-TG-0126","PENDING","SYNTHETIC_REFERENCE"
"FAC-TG-0127","NeuroCare Reference Specialty Hospital 0127","PRIVATE_HOSPITAL","Nizamabad","Nizamabad","Telangana","SYN-FAC-TG-0127","PENDING","SYNTHETIC_REFERENCE"
"FAC-TG-0128","NeuroCare Reference Clinic 0128","CLINIC","Karimnagar","Karimnagar","Telangana","SYN-FAC-TG-0128","PENDING","SYNTHETIC_REFERENCE"
"FAC-TG-0129","NeuroCare Reference Clinic 0129","CLINIC","Karimnagar","Karimnagar","Telangana","SYN-FAC-TG-0129","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-TG-0130","NeuroCare Reference Medical College & Hospital 0130","MEDICAL_COLLEGE_HOSPITAL","Warangal","Warangal","Telangana","SYN-FAC-TG-0130","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-TG-0131","NeuroCare Reference Research Hospital 0131","PRIVATE_HOSPITAL","Khammam","Khammam","Telangana","SYN-FAC-TG-0131","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-TG-0132","NeuroCare Reference Government Hospital 0132","GOVERNMENT_HOSPITAL","Karimnagar","Karimnagar","Telangana","SYN-FAC-TG-0132","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-TG-0133","NeuroCare Reference Clinic 0133","CLINIC","Hyderabad","Hyderabad","Telangana","SYN-FAC-TG-0133","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-TG-0134","NeuroCare Reference Medical Foundation 0134","PRIVATE_HOSPITAL","Warangal","Warangal","Telangana","SYN-FAC-TG-0134","PENDING","SYNTHETIC_REFERENCE"
"FAC-TG-0135","NeuroCare Reference Specialty Hospital 0135","SPECIALTY_HOSPITAL","Karimnagar","Karimnagar","Telangana","SYN-FAC-TG-0135","VERIFIED","SYNTHETIC_REFERENCE"
"FAC-TG-0136","NeuroCare Reference Healthcare Centre 0136","HEALTHCARE_CENTRE","Khammam","Khammam","Telangana","SYN-FAC-TG-0136","PENDING","SYNTHETIC_REFERENCE"
