"affiliation_id","reference_doctor_id","facility_id","department","designation","employment_type","status","start_date","end_date","verification_status","source_type"
"AFF-000063","REF-DL-000041","FAC-AS-0442","Department of Oncology","Junior Consultant","VISITING_CONSULTANT","CURRENT","2003-05-17","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000064","REF-DL-000041","FAC-OD-0361","Department of Emergency Medicine","Junior Consultant","PART_TIME","CURRENT","2014-10-22","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000065","REF-TG-000042","FAC-BR-0383","Department of Endocrinology","Junior Consultant","VISITING_CONSULTANT","ENDED","2017-06-12","2020-12-18","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000066","REF-TG-000042","FAC-AP-0171","Department of ENT","Associate Consultant","FULL_TIME","ENDED","2006-12-09","2009-04-29","PENDING","SYNTHETIC_REFERENCE"
"AFF-000067","REF-MP-000043","FAC-PB-0278","Department of Gastroenterology","Resident Physician","PART_TIME","ENDED","2012-01-22","2021-07-09","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000068","REF-MP-000043","FAC-HR-0302","Department of Neurology","Junior Resident","RESIDENT","CURRENT","2002-07-20","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000069","REF-UP-000044","FAC-PB-0287","Department of Gastroenterology","Senior Consultant","CONSULTANT","CURRENT","2009-01-29","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000070","REF-UP-000044","FAC-TG-0135","Department of Surgery","Consultant","VISITING_CONSULTANT","ENDED","2008-12-15","2015-04-07","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000071","REF-UP-000044","FAC-HR-0316","Department of Pulmonology","Consultant","PART_TIME","CURRENT","2016-12-10","","PENDING","SYNTHETIC_REFERENCE"
"AFF-000072","REF-KA-000045","FAC-OD-0356","Department of Oncology","Head of Department","PART_TIME","CURRENT","2022-03-22","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000073","REF-TN-000046","FAC-KA-0055","Department of Gastroenterology","Junior Consultant","FULL_TIME","CURRENT","2000-07-23","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000074","REF-MH-000047","FAC-HR-0307","Department of Orthopedics","Junior Resident","VISITING_CONSULTANT","CURRENT","2001-07-20","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000075","REF-MH-000047","FAC-WB-0197","Department of Cardiology","Resident Physician","RESIDENT","CURRENT","2014-04-25","","PENDING","SYNTHETIC_REFERENCE"
"AFF-000076","REF-MH-000047","FAC-UP-0271","Department of Anesthesiology","Registrar","RESIDENT","CURRENT","2000-01-28","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000077","REF-RJ-000048","FAC-CG-0483","Department of Oncology","Medical Officer","RESIDENT","ENDED","2001-05-23","2007-10-10","PENDING","SYNTHETIC_REFERENCE"
"AFF-000078","REF-DL-000049","FAC-HP-0453","Department of Neurology","Head of Department","FULL_TIME","CURRENT","2007-10-28","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000079","REF-TN-000050","FAC-DL-0105","Department of Obstetrics","Senior Consultant","CONSULTANT","ENDED","2018-07-27","2024-10-17","PENDING","SYNTHETIC_REFERENCE"
"AFF-000080","REF-TN-000050","FAC-MP-0333","Department of Oncology","Medical Officer","VISITING_CONSULTANT","CURRENT","2012-03-14","","PENDING","SYNTHETIC_REFERENCE"
"AFF-000081","REF-TN-000051","FAC-AS-0427","Department of Neurology","Associate Consultant","CONSULTANT","ENDED","2007-10-18","2013-02-15","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000082","REF-TN-000051","FAC-OD-0366","Department of Gastroenterology","Head of Department","CONSULTANT","CURRENT","2010-01-12","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000083","REF-UP-000052","FAC-TN-0038","Department of Oncology","Consultant","RESIDENT","CURRENT","2013-08-27","","PENDING","SYNTHETIC_REFERENCE"
"AFF-000084","REF-MH-000053","FAC-HP-0457","Department of Surgery","Junior Consultant","VISITING_CONSULTANT","ENDED","2021-01-13","2027-12-02","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000085","REF-MH-000053","FAC-AP-0169","Department of Dermatology","Medical Officer","CONSULTANT","CURRENT","2005-06-14","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000086","REF-MH-000053","FAC-CG-0492","Department of Oncology","Consultant","FULL_TIME","ENDED","2021-03-12","2024-10-25","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000087","REF-KER-000054","FAC-HR-0307","Department of Neurology","Junior Consultant","FULL_TIME","CURRENT","2017-05-02","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000088","REF-TG-000055","FAC-OD-0355","Department of Pulmonology","Resident Physician","CONSULTANT","CURRENT","2002-07-27","","PENDING","SYNTHETIC_REFERENCE"
"AFF-000089","REF-MH-000056","FAC-DL-0109","Department of Cardiology","Associate Consultant","FULL_TIME","CURRENT","2005-01-30","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000090","REF-MH-000056","FAC-BR-0385","Department of Orthopedics","Resident Physician","FULL_TIME","ENDED","2006-04-21","2012-05-02","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000091","REF-MH-000056","FAC-UP-0270","Department of Cardiology","Medical Officer","RESIDENT","ENDED","2014-03-29","2021-08-01","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000092","REF-TN-000057","FAC-KER-0013","Department of Medicine","Junior Consultant","CONSULTANT","ENDED","2005-03-21","2009-12-25","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000093","REF-AS-000058","FAC-AS-0444","Department of Pulmonology","Associate Consultant","CONSULTANT","CURRENT","2004-08-13","","PENDING","SYNTHETIC_REFERENCE"
"AFF-000094","REF-AS-000058","FAC-WB-0177","Department of Surgery","Consultant","PART_TIME","CURRENT","2003-02-11","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000095","REF-TG-000059","FAC-MP-0338","Department of Cardiology","Senior Resident","PART_TIME","CURRENT","2007-08-15","","PENDING","SYNTHETIC_REFERENCE"
"AFF-000096","REF-TG-000059","FAC-PB-0279","Department of Pediatrics","Consultant","FULL_TIME","CURRENT","2001-06-08","","PENDING","SYNTHETIC_REFERENCE"
"AFF-000097","REF-KA-000060","FAC-AS-0436","Department of Cardiology","Medical Officer","RESIDENT","ENDED","2013-12-25","2014-07-13","PENDING","SYNTHETIC_REFERENCE"
"AFF-000098","REF-KA-000060","FAC-HP-0469","Department of Emergency Medicine","Junior Resident","VISITING_CONSULTANT","CURRENT","2010-08-06","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000099","REF-KA-000061","FAC-KER-0019","Department of Neurosurgery","Head of Department","CONSULTANT","ENDED","2007-01-11","2007-12-05","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000100","REF-KA-000061","FAC-TG-0145","Department of Anesthesiology","Senior Consultant","VISITING_CONSULTANT","ENDED","2000-04-27","2005-09-05","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000101","REF-ML-000062","FAC-HP-0459","Department of Obstetrics","Senior Resident","PART_TIME","CURRENT","2009-04-11","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000102","REF-JK-000063","FAC-KA-0058","Department of Gastroenterology","Associate Consultant","CONSULTANT","CURRENT","2003-01-22","","PENDING","SYNTHETIC_REFERENCE"
"AFF-000103","REF-JK-000063","FAC-AS-0432","Department of Pulmonology","Resident Physician","RESIDENT","ENDED","2021-10-08","2024-12-31","PENDING","SYNTHETIC_REFERENCE"
"AFF-000104","REF-GJ-000064","FAC-HP-0458","Department of ENT","Consultant","VISITING_CONSULTANT","CURRENT","2009-12-05","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000105","REF-UK-000065","FAC-KER-0016","Department of Nephrology","Junior Resident","RESIDENT","CURRENT","2006-09-20","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000106","REF-UK-000065","FAC-KER-0001","Department of Cardiology","Resident Physician","CONSULTANT","CURRENT","2009-01-14","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000107","REF-MH-000066","FAC-HR-0324","Department of ENT","Junior Resident","CONSULTANT","CURRENT","2002-03-28","","PENDING","SYNTHETIC_REFERENCE"
"AFF-000108","REF-UP-000067","FAC-WB-0197","Department of Ophthalmology","Medical Officer","PART_TIME","CURRENT","2008-12-30","","PENDING","SYNTHETIC_REFERENCE"
"AFF-000109","REF-UP-000067","FAC-KA-0052","Department of Oncology","Senior Resident","RESIDENT","CURRENT","2000-07-10","","PENDING","SYNTHETIC_REFERENCE"
"AFF-000110","REF-OD-000068","FAC-PB-0283","Department of Pulmonology","Consultant","VISITING_CONSULTANT","CURRENT","2016-12-01","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000111","REF-OD-000068","FAC-KER-0023","Department of Gastroenterology","Resident Physician","FULL_TIME","CURRENT","2005-06-10","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000112","REF-KER-000069","FAC-WB-0186","Department of Obstetrics","Senior Consultant","FULL_TIME","CURRENT","2016-08-08","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000113","REF-MH-000070","FAC-WB-0185","Department of Pulmonology","Resident Physician","RESIDENT","ENDED","2012-11-24","2020-08-07","PENDING","SYNTHETIC_REFERENCE"
"AFF-000114","REF-TG-000071","FAC-KA-0051","Department of Emergency Medicine","Consultant","RESIDENT","CURRENT","2009-07-31","","PENDING","SYNTHETIC_REFERENCE"
"AFF-000115","REF-TG-000071","FAC-TN-0049","Department of Neurology","Senior Resident","CONSULTANT","CURRENT","2000-04-24","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000116","REF-DL-000072","FAC-KER-0009","Department of Endocrinology","Consultant","RESIDENT","ENDED","2001-06-13","2007-01-22","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000117","REF-DL-000072","FAC-KA-0062","Department of Pulmonology","Associate Consultant","RESIDENT","ENDED","2020-09-12","2026-07-01","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000118","REF-GA-000073","FAC-JH-0411","Department of Pulmonology","Resident Physician","FULL_TIME","CURRENT","2017-07-23","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000119","REF-GA-000073","FAC-MP-0339","Department of Psychiatry","Medical Officer","PART_TIME","ENDED","2019-05-07","2023-09-19","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000120","REF-MH-000074","FAC-HP-0451","Department of Orthopedics","Head of Department","RESIDENT","CURRENT","2000-02-27","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000121","REF-MH-000074","FAC-CG-0497","Department of Cardiology","Head of Department","RESIDENT","ENDED","2010-03-14","2014-12-28","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000122","REF-MH-000074","FAC-AP-0174","Department of Endocrinology","Resident Physician","PART_TIME","CURRENT","2013-04-01","","PENDING","SYNTHETIC_REFERENCE"
"AFF-000123","REF-KA-000075","FAC-TG-0150","Department of Neurology","Head of Department","PART_TIME","CURRENT","2019-08-22","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000124","REF-KA-000075","FAC-AP-0173","Department of Psychiatry","Consultant","PART_TIME","CURRENT","2016-07-07","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000125","REF-PB-000076","FAC-CG-0491","Department of Surgery","Senior Consultant","RESIDENT","CURRENT","2000-10-29","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000126","REF-PB-000076","FAC-OD-0369","Department of Psychiatry","Senior Resident","RESIDENT","CURRENT","2014-02-19","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000127","REF-HR-000077","FAC-HP-0470","Department of Nephrology","Associate Consultant","VISITING_CONSULTANT","CURRENT","2011-05-27","","PENDING","SYNTHETIC_REFERENCE"
"AFF-000128","REF-AS-000078","FAC-HR-0323","Department of Emergency Medicine","Senior Consultant","FULL_TIME","CURRENT","2007-02-26","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000129","REF-AS-000078","FAC-TN-0030","Department of Dermatology","Consultant","RESIDENT","ENDED","2013-04-30","2018-10-11","PENDING","SYNTHETIC_REFERENCE"
"AFF-000130","REF-UP-000079","FAC-AS-0429","Department of Medicine","Junior Resident","PART_TIME","CURRENT","2005-01-14","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000131","REF-KA-000080","FAC-JH-0402","Department of Orthopedics","Senior Consultant","CONSULTANT","CURRENT","2007-08-13","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000132","REF-KER-000082","FAC-HP-0465","Department of Pediatrics","Consultant","PART_TIME","CURRENT","2004-03-08","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000133","REF-DL-000083","FAC-MH-0096","Department of Medicine","Medical Officer","PART_TIME","ENDED","2015-07-16","2019-05-21","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000134","REF-DL-000083","FAC-UP-0252","Department of Surgery","Resident Physician","VISITING_CONSULTANT","CURRENT","2011-02-04","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000135","REF-DL-000083","FAC-RJ-0230","Department of Ophthalmology","Senior Consultant","RESIDENT","ENDED","2012-01-11","2018-09-27","PENDING","SYNTHETIC_REFERENCE"
"AFF-000136","REF-CG-000084","FAC-KA-0059","Department of Emergency Medicine","Junior Consultant","CONSULTANT","CURRENT","2018-03-20","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000137","REF-CG-000084","FAC-HP-0463","Department of Radiology","Senior Consultant","FULL_TIME","CURRENT","2018-12-27","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000138","REF-AP-000085","FAC-CG-0500","Department of Neurology","Junior Resident","VISITING_CONSULTANT","CURRENT","2002-09-24","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000139","REF-AP-000085","FAC-CG-0483","Department of Pulmonology","Resident Physician","CONSULTANT","CURRENT","2018-05-03","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000140","REF-KA-000086","FAC-RJ-0246","Department of Nephrology","Resident Physician","CONSULTANT","CURRENT","2015-12-14","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000141","REF-TG-000087","FAC-AP-0170","Department of Dermatology","Medical Officer","FULL_TIME","ENDED","2002-08-07","2011-06-11","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000142","REF-MH-000088","FAC-MP-0333","Department of Anesthesiology","Junior Consultant","VISITING_CONSULTANT","CURRENT","2006-12-18","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000143","REF-MH-000088","FAC-HP-0452","Department of Anesthesiology","Registrar","FULL_TIME","ENDED","2019-05-17","2021-03-17","PENDING","SYNTHETIC_REFERENCE"
"AFF-000144","REF-MH-000088","FAC-UP-0267","Department of Neurology","Senior Resident","VISITING_CONSULTANT","CURRENT","2006-11-13","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000145","REF-JH-000089","FAC-AP-0171","Department of Obstetrics","Senior Consultant","PART_TIME","CURRENT","2018-05-13","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000146","REF-TN-000090","FAC-PB-0289","Department of Neurology","Medical Officer","FULL_TIME","ENDED","2001-08-01","2010-10-23","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000147","REF-TN-000090","FAC-UP-0272","Department of Surgery","Registrar","PART_TIME","ENDED","2015-03-14","2017-11-15","PENDING","SYNTHETIC_REFERENCE"
"AFF-000148","REF-KA-000091","FAC-GJ-0222","Department of Medicine","Junior Consultant","CONSULTANT","ENDED","2010-02-03","2019-09-09","PENDING","SYNTHETIC_REFERENCE"
"AFF-000149","REF-TN-000092","FAC-PB-0288","Department of Medicine","Resident Physician","RESIDENT","CURRENT","2019-04-28","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000150","REF-TG-000093","FAC-RJ-0238","Department of Neurosurgery","Registrar","CONSULTANT","CURRENT","2002-12-03","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000151","REF-TG-000093","FAC-MP-0332","Department of ENT","Senior Consultant","FULL_TIME","CURRENT","2021-12-17","","VERIFIED","SYNTHETIC_REFERENCE"
"AFF-000152","REF-TN-000094","FAC-PB-0297","Department of Emergency Medicine","Senior Consultant","CONSULTANT","CURRENT","2021-10-03","","VERIFIED","SYNTHETIC_REFERENCE"
